Q_HD,7.80E+02,8.31E+00,1.03E+03,1.10E+03,4.29E+02,1.41E+03,8.24E+02,1.40E+03,1.39E+03,3.10E+01,1.86E+02,1.16E+03,1.17E+01,1.33E+03,2.60E+02,6.93E+02,1.31E+03,1.07E+03,1.07E+02
T_HD_IN,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30
T_HD_OUT,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
