Q_HD,8.70E+02,1.40E+03,6.91E+02,7.38E+02,9.69E+02,8.73E+02,3.54E+02,3.45E+02,7.66E+02,1.18E+03,1.03E+03,6.70E+02,1.19E+03,6.55E+02,9.85E+02,7.95E+02,7.80E+02,4.17E+02,9.55E+02
T_HD_IN,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70
T_HD_OUT,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
